dataset,n_train,n_feat,ptype,icl_err,icl_fit_s,icl_inf_s,best_trad,trad_err,rel_win_vs_best_trad,rel_win_vs_default_trad
APSFailure,50666,170,binary,0.0057923092878214445,106.60945343971252,12.328555319044325,XGB (tuned + ensemble),0.007524705193070634,0.23022774458254147,0.23356704140961884
Amazon_employee_access,21846,9,binary,0.1469063711461352,10.114147000842625,0.9607813358306885,CAT (tuned + ensemble),0.11760155968500349,-0.24918726877113553,-0.24249709342998477
Another-Dataset-on-used-Fiat-500,1025,7,regression,715.8320503065283,4.868929640452067,0.13009189764658605,GBM (tuned + ensemble),729.4337460272967,0.01864692413100855,0.029813243892568286
Bank_Customer_Churn,6666,10,binary,0.12808223199849278,6.213847345776028,0.2322399881150987,CAT (default),0.12977253354380194,0.013025110161224054,0.013025110161224054
Bioresponse,2500,1776,binary,0.1381846013075839,69.24235648579068,5.766829835044013,XGB (tuned + ensemble),0.12429242636465913,-0.1117700840610093,-0.08883036740995412
Diabetes130US,47678,47,binary,0.33660987968105416,35.211717791027496,4.719503561655681,GBM (tuned + ensemble),0.32772829694177985,-0.027100445161902208,-0.023473172030736372
E-CommereShippingData,7332,10,binary,0.25487942285089243,5.650211811065674,0.26107194688585067,CAT (default),0.25556023949367473,0.0026640162966318983,0.0026640162966318983
Fitness_Club,1000,6,binary,0.17922583972254333,4.658103497823079,0.08213608264923092,GBM (tuned),0.18519709272058504,0.03224269296198297,0.03870332277396331
Food_Delivery_Time,30300,9,regression,7.601294199625651,13.458105882008871,1.5739936033884685,CAT (tuned),7.366906313834033,-0.031816325036124124,-0.03011574648376496
GiveMeSomeCredit,100000,10,binary,0.13294805959390066,64.51456983884175,11.037827650705973,CAT (tuned),0.13341398565452994,0.0034923329690170657,0.0052169198832545515
HR_Analytics_Job_Change_of_Data_Scientists,12772,12,binary,0.19377913338594432,7.683215565151638,0.5364491674635146,XGB (tuned + ensemble),0.19528529739113548,0.007712633901847063,0.007910483451170245
Is-this-a-good-customer,1148,13,binary,0.2518507654755198,4.900312542915344,0.1321099996566772,CAT (default),0.25107880986073516,-0.003074555018055231,-0.003074555018055231
MIC,1132,111,multiclass,0.4454463419340797,7.026951591173808,0.22010816733042396,XGB (tuned + ensemble),0.4395940177948042,-0.013313020428788626,0.020773893696264215
Marketing_Campaign,1493,25,binary,0.07515377515916062,5.372911755243937,0.09889085292816158,GBM (tuned + ensemble),0.08896426606796531,0.15523638331657796,0.1954795330004074
NATICUSdroid,4994,86,binary,0.012218740864618233,9.209207826190525,0.6235322952270508,CAT (tuned + ensemble),0.013932472842380056,0.12300271438886,0.130516715893626
QSAR-TID-11,3828,1024,regression,0.8080467465233192,48.751701513926186,4.960698578092787,GBM (tuned + ensemble),0.7557796383261282,-0.06915654450938932,-0.04658614959106216
QSAR_fish_toxicity,604,6,regression,0.8572566167725649,4.271175734202067,0.045516045888264925,CAT (tuned + ensemble),0.8743599763143532,0.019561004626359128,0.022396592604419317
SDSS17,52035,11,multiclass,0.07141370103512075,25.208849085701836,3.7112767696380615,RF (tuned + ensemble),0.07229429637039801,0.012180702759254397,0.03331945604365046
airfoil_self_noise,1002,5,regression,1.078067220237732,4.968333506584168,0.06124382813771561,CAT (tuned),1.3287170293711439,0.18864047317286184,0.304193397948031
anneal,598,38,multiclass,0.02008936912171483,5.267128761609396,0.07595132986704504,CAT (tuned + ensemble),0.0216369360734779,0.07152431132151128,0.48283869708850663
bank-marketing,30140,13,binary,0.2368805104068109,14.10437528292338,1.678277889887492,CAT (default),0.23439015415148123,-0.010624833045334363,-0.010624833045334363
blood-transfusion-service-center,498,4,binary,0.24460424719992066,4.5855334838231405,0.037955196698506624,GBM (tuned + ensemble),0.2570318911685994,0.04835059148565686,0.06582922433794655
churn,3333,19,binary,0.06478775009438315,5.506506681442261,0.15264463424682614,CAT (default),0.07583185636947533,0.14563940280298582,0.14563940280298582
coil2000_insurance_policies,6548,85,binary,0.22636219037026947,11.087159077326456,0.8068520492977567,GBM (tuned + ensemble),0.23889224081344995,0.05245063799692493,0.06451190450789936
concrete_compressive_strength,686,8,regression,3.934536479000853,4.587167604764303,0.05215907096862788,CAT (default),4.201709573761268,0.06358675916794704,0.06358675916794704
credit-g,666,20,binary,0.20361530513676435,4.80297605196635,0.0657665888468424,GBM (tuned + ensemble),0.20367832556888346,0.0003094115780022057,0.03626854590090033
credit_card_clients_default,20000,23,binary,0.20893978247550432,12.129478136698404,1.1862819194793701,GBM (tuned + ensemble),0.21454205846637722,0.026112716690237608,0.02966198434735229
customer_satisfaction_in_airline,86586,21,binary,0.004762933612536311,60.92009978824191,9.593008200327555,CAT (tuned + ensemble),0.005152885283870922,0.07567637349800913,0.08789175043039144
diabetes,512,8,binary,0.16078865372904744,4.490783619880676,0.04354617595672603,GBM (tuned),0.16224140741275145,0.008954271951106306,0.03293709655974063
diamonds,35960,9,regression,499.01458087819367,16.147224982579548,2.02946408589681,GBM (tuned + ensemble),519.0275244425568,0.03855854000393779,0.041055042746017144
hazelnut-spread-contaminant-detection,1600,30,binary,0.005091666666666613,5.0692553679148356,0.10072470506032305,GBM (tuned),0.022204999999999957,0.7706972904000621,0.8026884107697914
healthcare_insurance_expenses,892,6,regression,4446.359219534701,4.77236631711324,0.05794097582499181,GBM (tuned + ensemble),4511.9040142153935,0.014527080911780127,0.0180664556623103
heloc,6972,23,binary,0.19850397678001838,6.568819867240058,0.35340542263454855,GBM (tuned + ensemble),0.2012810406278523,0.013796946990990636,0.015808715317161166
hiva_agnostic,2563,1617,multiclass,0.19861939974006979,53.42268567615085,4.695247093836467,RF (tuned),0.17384881437488475,-0.14248348747303013,-0.13612996176425857
houses,13760,8,regression,0.1946087315202964,6.9747880299886065,0.5179060300191244,CAT (tuned + ensemble),0.21075659982902967,0.0766185653110402,0.07820733986655348
in_vehicle_coupon_recommendation,8456,24,binary,0.15621452822184453,7.161550468868679,0.4665330780877007,GBM (tuned + ensemble),0.15513051038764175,-0.006987779718470775,0.029555660573651776
jm1,7256,21,binary,0.22640921571477376,6.328362464904785,0.3510474099053277,RF (tuned + ensemble),0.23918299848438085,0.05340589778767758,0.08852867994808693
